Stop Name,Address,Visibility (V),Lighting (L),Traffic Risk (T),Pedestrian Safety (P),Sidewalk Quality (S),Construction Risk (C),U-Turn Required (U),School
Stop A (residential),"1130 Granger Ave, Ann Arbor, MI 48104",0.9,0.8,0.2,1.0,0.9,0.0,0,Ann Arbor High School
Stop B (intersection),"Packard St & State St, Ann Arbor, MI 48104",0.6,0.4,0.8,0.4,0.5,0.2,1,Ann Arbor High School
Stop C (parking lot),"3275 Central Blvd, Ann Arbor, MI 48108",0.8,1.0,0.3,0.7,0.8,0.1,0,Ann Arbor High School
Stop D (rural driveway),"1950 Earhart Rd, Ann Arbor, MI 48105",0.7,0.3,0.1,0.5,0.4,0.0,1,Ann Arbor High School
Stop E (busy road),"300 S Main St, Ann Arbor, MI 48104",0.5,0.6,0.9,0.3,0.3,0.3,1,Ann Arbor High School
Stop F (school loop),"2800 Stone School Rd, Ann Arbor, MI 48108",1.0,1.0,0.1,1.0,1.0,0.0,0,Ann Arbor High School
Stop G (quiet cul-de-sac),"2600 Shady Lane, Ann Arbor, MI 48104",0.95,0.9,0.1,0.9,0.95,0.0,0,Ann Arbor High School
Stop H (blind corner),"Broadway St & Swift St, Ann Arbor, MI 48105",0.4,0.2,0.9,0.3,0.3,0.3,1,Ann Arbor High School
Stop I (construction zone),"2850 S Industrial Hwy, Ann Arbor, MI 48104",0.3,0.3,1.0,0.2,0.2,1.0,1,Ann Arbor High School
Stop J (shared driveway),"3621 Burbank Dr, Ann Arbor, MI 48105",0.6,0.5,0.5,0.6,0.7,0.4,1,Ann Arbor High School
Stop K (side street),"1855 Washtenaw Ave, Ann Arbor, MI 48104",0.8,0.7,0.4,0.8,0.6,0.2,0,Ann Arbor High School
Stop L (apartment lot),"3025 Boardwalk Dr, Ann Arbor, MI 48108",0.9,1.0,0.3,0.9,0.8,0.1,0,Ann Arbor High School
Stop M (dead end),"2400 Independence Blvd, Ann Arbor, MI 48103",0.7,0.4,0.6,0.5,0.5,0.2,1,Ann Arbor High School
Stop N (near tracks),"3601 Plymouth Rd, Ann Arbor, MI 48105",0.5,0.3,0.7,0.4,0.5,0.2,1,Ann Arbor High School
Stop O (hidden lane),"899 Hidden Valley Club Dr, Ann Arbor, MI 48104",0.4,0.2,0.8,0.4,0.4,0.5,1,Ann Arbor High School
